#       r             R(r)          X(r)=rR(r)          Veff
  2.125583e-04   1.598640e+01   3.398042e-03  -3.763674e+04
  2.146945e-04   1.598627e+01   3.432164e-03  -3.726225e+04
  2.168522e-04   1.598613e+01   3.466628e-03  -3.689148e+04
  2.190316e-04   1.598599e+01   3.501437e-03  -3.652440e+04
  2.212329e-04   1.598585e+01   3.536596e-03  -3.616098e+04
  2.234564e-04   1.598571e+01   3.572108e-03  -3.580117e+04
  2.257021e-04   1.598556e+01   3.607976e-03  -3.544494e+04
  2.279705e-04   1.598542e+01   3.644203e-03  -3.509226e+04
  2.302616e-04   1.598527e+01   3.680795e-03  -3.474309e+04
  2.325758e-04   1.598512e+01   3.717753e-03  -3.439739e+04
  2.349132e-04   1.598497e+01   3.755082e-03  -3.405513e+04
  2.372741e-04   1.598482e+01   3.792785e-03  -3.371627e+04
  2.396588e-04   1.598467e+01   3.830867e-03  -3.338079e+04
  2.420674e-04   1.598452e+01   3.869330e-03  -3.304865e+04
  2.445002e-04   1.598436e+01   3.908180e-03  -3.271981e+04
  2.469575e-04   1.598420e+01   3.947419e-03  -3.239424e+04
  2.494394e-04   1.598404e+01   3.987051e-03  -3.207191e+04
  2.519464e-04   1.598388e+01   4.027081e-03  -3.175279e+04
  2.544785e-04   1.598372e+01   4.067513e-03  -3.143685e+04
  2.570360e-04   1.598356e+01   4.108350e-03  -3.112404e+04
  2.596193e-04   1.598339e+01   4.149597e-03  -3.081435e+04
  2.622285e-04   1.598323e+01   4.191257e-03  -3.050775e+04
  2.648639e-04   1.598306e+01   4.233336e-03  -3.020419e+04
  2.675258e-04   1.598289e+01   4.275836e-03  -2.990365e+04
  2.702145e-04   1.598272e+01   4.318762e-03  -2.960611e+04
  2.729302e-04   1.598254e+01   4.362119e-03  -2.931152e+04
  2.756732e-04   1.598237e+01   4.405911e-03  -2.901987e+04
  2.784438e-04   1.598219e+01   4.450142e-03  -2.873111e+04
  2.812422e-04   1.598201e+01   4.494816e-03  -2.844523e+04
  2.840687e-04   1.598183e+01   4.539938e-03  -2.816220e+04
  2.869237e-04   1.598165e+01   4.585513e-03  -2.788198e+04
  2.898073e-04   1.598146e+01   4.631545e-03  -2.760455e+04
  2.927199e-04   1.598128e+01   4.678038e-03  -2.732988e+04
  2.956618e-04   1.598109e+01   4.724997e-03  -2.705794e+04
  2.986332e-04   1.598090e+01   4.772428e-03  -2.678871e+04
  3.016346e-04   1.598071e+01   4.820334e-03  -2.652216e+04
  3.046660e-04   1.598051e+01   4.868720e-03  -2.625826e+04
  3.077280e-04   1.598032e+01   4.917591e-03  -2.599699e+04
  3.108207e-04   1.598012e+01   4.966952e-03  -2.573831e+04
  3.139445e-04   1.597992e+01   5.016808e-03  -2.548221e+04
  3.170997e-04   1.597972e+01   5.067164e-03  -2.522866e+04
  3.202866e-04   1.597952e+01   5.118024e-03  -2.497763e+04
  3.235055e-04   1.597931e+01   5.169395e-03  -2.472910e+04
  3.267568e-04   1.597910e+01   5.221280e-03  -2.448304e+04
  3.300408e-04   1.597889e+01   5.273686e-03  -2.423943e+04
  3.333577e-04   1.597868e+01   5.326617e-03  -2.399824e+04
  3.367080e-04   1.597847e+01   5.380078e-03  -2.375946e+04
  3.400920e-04   1.597825e+01   5.434075e-03  -2.352305e+04
  3.435100e-04   1.597803e+01   5.488613e-03  -2.328899e+04
  3.469623e-04   1.597781e+01   5.543698e-03  -2.305726e+04
